n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
400,300,3,2.5,19024,0.20016835016835,0.00597071881728783,320,0.333333333333333,0,1,0,0.296992508087257,0.00245810163296608,Diag
400,300,3,2.5,18112,0.190572390572391,0.00446683473448539,320,0.333333333333333,0,1,0,0.293430009850231,0.00170637345983574,Toep(0.10)
400,300,3,2.5,19504,0.205218855218855,0.00404685968997129,320,0.333333333333333,0,1,0,0.299174128526393,0.00154295813402141,Toep(0.50)
400,300,3,2.5,19200,0.202020202020202,0.0044841661983495,320,0.333333333333333,0,1,0,0.298493833961737,0.00194159254366306,Toep(0.70)
400,300,3,2.5,18256,0.192087542087542,0.00503260458231675,320,0.333333333333333,0,1,0,0.291537774899445,0.00212136066668099,t
300,400,3,2.5,8352,0.0876574307304786,0.00432672446687252,96,0.133333333333333,0.0374634324632678,1,0,0.245304581297359,0.00192991384636966,Diag
300,400,3,2.5,8400,0.0881612090680101,0.00267948865589391,36,0.05,0.0273059340636375,1,0,0.244826680318683,0.00197893663215117,Toep(0.10)
300,400,3,2.5,8496,0.089168765743073,0.00290320275987471,72,0.1,0.0350438322025231,1,0,0.246696831504648,0.00121040727732236,Toep(0.50)
300,400,3,2.5,8904,0.0934508816120907,0.00299101815794406,108,0.15,0.0450795268685249,1,0,0.248251996005721,0.00152091165338927,Toep(0.70)
300,400,3,2.5,8376,0.0879093198992443,0.00389325440931292,48,0.0666666666666667,0.0305887645160749,1,0,0.245365777928263,0.00180852732360517,t
